basis,E_eV,lambda_nm,sigma_200K,sigma_220K,sigma_250K,sigma_298K
cc-pvtz-dk,1.0900450225112557,1137.42272878201,3.030258999251919e-30,3.064080407040392e-30,3.1268318380598013e-30,3.248901940359138e-30
cc-pvtz-dk,1.0920460230115057,1135.3385826917088,2.8313143927239072e-30,2.9786080532968297e-30,3.253546304370811e-30,3.794968672244453e-30
cc-pvtz-dk,1.0940470235117559,1133.2620603639689,2.0852092067712662e-30,2.3194569110658478e-30,2.7570890783639048e-30,3.620423405656214e-30
cc-pvtz-dk,1.096048024012006,1131.1931200438155,9.27599990397e-31,1.2050557365748177e-30,1.7236570815423086e-30,2.747695674662082e-30
cc-pvtz-dk,1.098049024512256,1129.1317202806379,5.293763935059607e-31,8.046945789810024e-31,1.3332278931746345e-30,2.4319573368293488e-30
cc-pvtz-dk,1.1000500250125063,1127.0778199254205,4.189056135958731e-31,6.561535394226662e-31,1.1461595889789791e-30,2.2978597832759233e-30
cc-pvtz-dk,1.1020510255127565,1125.0313781280072,2.2590886683404103e-31,3.787682107451304e-31,7.352705319838845e-31,1.719174017403349e-30
cc-pvtz-dk,1.1040520260130064,1122.9923543343905,5.853288622393867e-32,1.3274773017199361e-31,3.5325827715386105e-31,1.1121527209118172e-30
cc-pvtz-dk,1.1060530265132567,1120.9607082840344,5.526183649997736e-32,1.2532926075850341e-31,3.3351680420564e-31,1.0500012179631449e-30
cc-pvtz-dk,1.1080540270135066,1118.9364000072235,4.1261701794380596e-32,9.357811667242822e-32,2.49023047190145e-31,7.8399198946906975e-31
cc-pvtz-dk,1.1100550275137568,1116.9193898224426,1.9043871823633965e-32,4.318992145034331e-32,1.149337711627234e-31,3.618426363654757e-31
cc-pvtz-dk,1.112056028014007,1114.909638333783,8.530411089603074e-31,8.484129152459215e-31,8.396236997711467e-31,8.217205956733102e-31
cc-pvtz-dk,1.114057028514257,1112.907106428379,2.106039251387298e-30,2.094612888081782e-30,2.0729135437191915e-30,2.028713282376955e-30
cc-pvtz-dk,1.1160580290145072,1110.9117552738683,2.9735469464549067e-30,2.957413900646848e-30,2.9267762859267278e-30,2.8643693046417686e-30
cc-pvtz-dk,1.1180590295147574,1108.9235463158836,3.328138481144872e-30,3.3335536709473585e-30,3.343147486097595e-30,3.3600039296694445e-30
cc-pvtz-dk,1.1200600300150074,1106.9424412755695,3.265728280911234e-30,3.402289009009069e-30,3.657090991758399e-30,4.158455339976694e-30
