E_eV,lambda_nm,sigma_200K,sigma_250K,sigma_298K
1.7701350675337668,700.4222484148651,1.229499090845591e-32,1.6125932869033784e-32,2.2497550658870379e-32
1.7721360680340172,699.6313693764289,1.9573598268726583e-32,2.2923650612002429e-32,2.840195649114279e-32
1.7741370685342672,698.8422743595092,2.3223849147605916e-32,2.544393436383642e-32,2.8970491905969977e-32
1.776138069034517,698.05495733446,2.2477389635200874e-32,2.3160065278314585e-32,2.4150834599830877e-32
1.7781390695347674,697.2694122987762,1.7777552295687163e-32,1.7608758485606868e-32,1.7355934505852795e-32
1.7801400700350178,696.4856332769424,1.0054960791050408e-32,9.959491228430073e-33,9.816494309552708e-33
1.7821410705352676,695.7036143202806,2.5196835466968275e-34,2.495759725297255e-34,2.459925972067273e-34
1.7841420710355176,694.9233495067994,0.0,0.0,0.0
1.7861430715357676,694.1448329410448,0.0,0.0,0.0
1.788144072036018,693.3680587539516,0.0,0.0,0.0
1.790145072536268,692.5930211026966,0.0,0.0,0.0
1.7921460730365182,691.8197141705513,2.872904207785749e-34,9.558099347039653e-34,2.2542632827156814e-33
1.7941470735367686,691.0481321667362,1.183017858255182e-33,3.650782257032366e-33,7.903190155713532e-33
1.7961480740370186,690.2782693262776,1.8704853416053522e-33,5.703960380163449e-33,1.2165155876718689e-32
1.7981490745372684,689.5101199098624,1.1423301109633887e-32,1.5832844105148063e-32,2.31945836579414e-32
1.8001500750375188,688.7436782036959,2.062284084249382e-32,2.4765554759665483e-32,3.1632182673592817e-32
1.8021510755377688,687.9789385193616,2.6035292590176287e-32,2.91185143453525e-32,3.4185372191433143e-32
1.804152076038019,687.2158951936781,2.654196691429505e-32,2.795931610438949e-32,3.0237151786102736e-32
1.806153076538269,686.4545425885611,2.2089760287304375e-32,2.1880023044480512e-32,2.1565872872693105e-32
1.8081540770385194,685.6948750908839,1.415927037327169e-32,1.402483132595462e-32,1.3823464848351687e-32
1.8101550775387694,684.9368871123394,3.3486278378694113e-33,3.316833379223266e-33,3.2692107705196594e-33
1.8121560780390196,684.1805730893029,0.0,0.0,0.0
1.8141570785392696,683.4259274826968,0.0,0.0,0.0
1.81615807903952,682.6729447778541,0.0,0.0,0.0
1.8181590795397697,681.9216194843857,0.0,0.0,0.0
1.8201600800400197,681.1719461360451,0.0,0.0,0.0
1.8221610805402702,680.423919290597,1.0437994376277739e-33,3.1491293851100756e-33,6.624618014129695e-33
1.8241620810405204,679.6775335296859,1.933678286997291e-33,5.838418243650084e-33,1.2294305871289576e-32
1.8261630815407703,678.9327834587043,9.8565032984784e-33,1.4788015926027892e-32,2.297130535828838e-32
1.8281640820410203,678.189663706663,2.1300114437794704e-32,2.629761780022614e-32,3.464138339376181e-32
1.8301650825412707,677.4481689260625,2.887989169368831e-32,3.3002484904283326e-32,3.995789011502785e-32
1.8321660830415207,676.7082937927645,3.1055916016391693e-32,3.351077648971655e-32,3.7761270174177436e-32
1.834167083541771,675.9700330058638,2.7298076054640546e-32,2.759248665338246e-32,2.830196275458884e-32
1.836168084042021,675.233381287563,1.9132489938535875e-32,1.8950831304133667e-32,1.8678738039076087e-32
1.8381690845422713,674.4983333830452,7.35522894477783e-33,7.285392721154226e-33,7.180790117663519e-33
1.840170085042521,673.7648840603507,0.0,0.0,0.0
1.842171085542771,673.0330281102513,0.0,0.0,0.0
1.8441720860430215,672.3027603461277,0.0,0.0,0.0
1.8461730865432715,671.5740756038477,0.0,0.0,0.0
1.8481740870435217,670.846968741643,0.0,0.0,0.0
1.8501750875437721,670.121434639989,7.890886798515462e-34,2.2543645775912964e-33,4.396894424160065e-33
1.8521760880440221,669.3974682014854,1.8900757369944156e-33,5.5155064569559054e-33,1.109160954137461e-32
1.854177088544272,668.6750643507352,7.349543546667843e-33,1.2585143829299155e-32,2.099476380845012e-32
1.8561780890445223,667.9542180342271,2.1398654240023704e-32,2.720639503449207e-32,3.6834542245012893e-32
1.8581790895447723,667.2349242202181,3.1631291428030115e-32,3.6944514004054667e-32,4.607418217932982e-32
1.8601800900450227,666.5171778986149,3.5996331216104334e-32,3.98242259268218e-32,4.6805935620038e-32
1.8621810905452725,665.8009740808596,3.352921276622088e-32,3.5141339511495116e-32,3.8690009912232556e-32
1.8641820910455225,665.0863077998122,2.5182215206350176e-32,2.54016147068494e-32,2.651820812027796e-32
1.8661830915457729,664.3731741096367,1.2494688896829974e-32,1.251701331504243e-32,1.279270131579849e-32
1.868184092046023,663.6615680856875,0.0,0.0,0.0
1.870185092546273,662.9514848243948,0.0,0.0,0.0
1.8721860930465235,662.2429194431528,0.0,0.0,0.0
1.8741870935467735,661.5358670802082,0.0,0.0,0.0
