r_ocl_A,r_oh_A,theta_deg,ncas,nelecas,conv_cas,e_casscf_Ha,e_nevpt2_Ha,s2,gap_app_eV,status,wall_s
3.6,0.8,115.0,6,10,True,-536.1504699974755,-536.6033284808502,2.0000000000000004,0.039670165132613726,ok,4.34
2.2,0.9,85.0,6,10,True,-536.1706110992612,-536.6452043599445,2.0,0.920780923518259,ok,3.09
2.2,0.9,95.0,6,10,True,-536.1716275151869,-536.6456208229391,2.0000000000000004,0.910245505699063,ok,3.2
2.2,1.0,95.0,6,10,True,-536.1727452813682,-536.6504501401301,2.0,0.9152421782426601,ok,4.68
2.2,0.9,75.0,6,10,True,-536.1678252828757,-536.6431938719818,1.9999999999999987,0.9312319502361798,ok,4.74
2.2,1.0,105.0,6,10,True,-536.1726553040602,-536.6497192906639,2.0000000000000004,0.9029338360772677,ok,4.77
2.2,1.0,75.0,6,10,True,-536.1684110219534,-536.647862631099,1.9999999999999993,0.9435078404412002,ok,4.78
2.2,1.0,85.0,6,10,True,-536.171496277467,-536.6499135494199,2.0,0.9279703364681072,ok,4.78
2.2,0.95,105.0,6,10,True,-536.174695005273,-536.6499475560779,2.0,0.9015221454546516,ok,4.84
2.2,0.85,95.0,6,10,True,-536.1609453482585,-536.6331377637737,1.9999999999999991,0.9064004428119277,ok,4.85
2.2,0.85,135.0,6,10,True,-536.1557950080448,-536.6248772836485,2.0000000000000004,0.8740021683595888,ok,4.85
2.2,0.95,85.0,6,10,True,-536.1737317431451,-536.6502264988686,1.9999999999999993,0.9248470374343848,ok,4.86
2.2,0.85,105.0,6,10,True,-536.1605994910574,-536.6322219277378,1.9999999999999987,0.896157620660082,ok,4.87
2.2,0.95,125.0,6,10,True,-536.1720171572019,-536.6456989794825,1.999999999999999,0.8797159133788447,ok,4.87
2.2,0.85,125.0,6,10,True,-536.1577274283371,-536.6278461051625,2.0,0.8790388377314831,ok,4.9
2.2,0.95,95.0,6,10,True,-536.1748688358915,-536.6507091087444,1.9999999999999996,0.9131911338003244,ok,5.01
2.2,0.9,125.0,6,10,True,-536.1685894457172,-536.640478760324,2.0000000000000013,0.8797827184539037,ok,5.03
2.2,0.95,135.0,6,10,True,-536.1701240506741,-536.6427751277722,1.9999999999999991,0.8699566043324711,ok,5.03
2.2,0.95,115.0,6,10,True,-536.1736307009857,-536.6481913296938,1.9999999999999991,0.8901295479082558,ok,5.04
2.2,0.9,115.0,6,10,True,-536.1702441712586,-536.6429921302689,2.0,0.8887275793508006,ok,5.1
